timesteps,reward,episode_length
40,0.0,5
40,0.0,5
40,0.0,5
40,0.0,5
40,0.0,5
40,0.0,5
64,0.0,3
80,0.0,5
80,0.0,5
128,1.0,16
128,1.0,16
152,0.0,3
152,1.0,14
152,1.0,14
152,1.0,14
168,0.0,5
184,0.0,4
192,1.0,14
192,0.0,5
192,0.0,5
192,0.0,5
208,1.0,16
216,0.0,3
224,0.0,5
232,0.0,5
232,0.0,5
232,0.0,5
240,0.0,3
264,0.0,5
272,0.0,5
280,0.0,5
304,0.0,5
312,0.0,5
320,0.0,5
328,1.0,15
344,0.0,5
352,2.0,23
352,1.0,15
360,1.0,16
368,0.0,5
392,0.0,5
392,0.0,5
392,3.0,41
400,0.0,5
408,0.0,5
424,1.0,14
432,1.0,14
432,0.0,5
440,0.0,5
448,0.0,5
456,0.0,3
464,0.0,5
472,0.0,5
480,0.0,3
488,0.0,5
488,1.0,12
488,1.0,12
504,0.0,5
504,0.0,3
512,2.0,21
528,0.0,5
528,0.0,5
528,0.0,5
536,0.0,3
536,1.0,12
544,0.0,5
544,0.0,5
560,0.0,3
568,0.0,5
568,0.0,5
576,0.0,5
584,0.0,5
600,1.0,16
608,0.0,5
608,0.0,5
616,0.0,5
640,0.0,5
640,1.0,14
648,0.0,5
648,0.0,5
656,0.0,5
664,0.0,3
680,0.0,5
688,0.0,5
688,1.0,16
688,0.0,5
712,1.0,16
720,0.0,5
728,0.0,5
728,2.0,23
752,0.0,3
752,0.0,5
768,1.0,14
768,0.0,5
776,0.0,3
784,1.0,12
792,1.0,16
792,0.0,3
792,0.0,5
808,0.0,5
816,0.0,3
816,0.0,3
824,0.0,5
832,1.0,14
848,0.0,5
856,2.0,21
856,0.0,5
856,0.0,5
872,0.0,5
896,0.0,5
896,0.0,5
912,0.0,5
920,1.0,16
936,0.0,5
936,1.0,14
944,0.0,3
952,0.0,5
960,0.0,3
968,1.0,14
976,1.0,16
976,0.0,5
984,0.0,5
992,1.0,12
1000,0.0,5
1008,0.0,5
1024,0.0,5
1032,0.0,5
1040,0.0,5
1048,0.0,5
1064,3.0,36
1064,0.0,5
1072,0.0,5
1080,0.0,5
1088,0.0,5
1104,0.0,5
1112,0.0,5
1120,2.0,21
1120,0.0,5
1144,0.0,5
1152,0.0,5
1160,2.0,23
1160,2.0,23
1160,0.0,5
1200,0.0,5
1200,1.0,17
1240,0.0,5
