experiment,member,policy,lr,gamma,batch_size,epsilon_start,epsilon_end,epsilon_fraction,mean_reward,std_reward
1,Member2,CnnPolicy,0.0003,0.99,32,1.0,0.1,0.1,2.3333332538604736,1.247219204902649
2,Member2,CnnPolicy,0.0003,0.99,32,1.0,0.01,0.1,0.6666666865348816,0.4714045226573944
3,Member2,CnnPolicy,0.0003,0.99,32,0.5,0.1,0.1,1.3333333730697632,1.2472190856933594
4,Member2,CnnPolicy,0.0003,0.99,32,1.0,0.1,0.3,2.0,1.632993221282959
5,Member2,CnnPolicy,0.0003,0.99,32,1.0,0.1,0.05,3.0,0.8164966106414795
6,Member2,CnnPolicy,0.0003,0.99,128,1.0,0.1,0.1,2.6666667461395264,1.247219204902649
7,Member2,CnnPolicy,0.0003,0.99,16,1.0,0.1,0.1,0.6666666865348816,0.942808985710144
8,Member2,CnnPolicy,0.0003,0.98,32,1.0,0.1,0.1,1.0,0.8164966106414795
9,Member2,CnnPolicy,0.0003,0.995,32,1.0,0.1,0.1,1.3333333730697632,0.471404492855072
10,Member2,CnnPolicy,0.0002,0.99,64,1.0,0.05,0.15,2.3333332538604736,1.247219204902649
