timesteps,reward,episode_length
1128,0.0,141
1408,1.0,176
1424,1.0,178
1456,1.0,182
1688,2.0,211
2024,3.0,253
2152,4.0,269
2432,1.0,163
2560,0.0,138
3064,2.0,207
3136,0.0,139
3208,1.0,190
3256,7.0,407
3336,2.0,239
3832,2.0,210
4184,2.0,203
4352,2.0,240
4448,0.0,139
4608,2.0,193
4912,0.0,135
5456,0.0,138
5512,3.0,282
5536,3.0,300
5608,1.0,178
5704,4.0,312
5744,1.0,162
6240,1.0,204
6352,1.0,180
6800,0.0,132
6856,1.0,165
7016,1.0,188
7192,1.0,186
7248,2.0,224
7944,2.0,213
7992,2.0,205
8176,1.0,165
8448,1.0,179
8448,2.0,206
8584,1.0,174
8624,1.0,172
8728,6.0,390
9224,1.0,160
9512,0.0,133
9720,2.0,216
9816,1.0,154
10120,3.0,243
10328,2.0,213
10920,4.0,274
10936,0.0,152
10976,1.0,183
11016,3.0,224
11304,5.0,357
11576,2.0,182
12120,2.0,224
12136,0.0,145
12136,7.0,290
13400,3.0,298
13600,2.0,253
14176,5.0,359
14656,7.0,467
14664,2.0,316
14992,3.0,359
15072,1.0,209
15200,1.0,383
15256,1.0,540
15560,0.0,245
16016,2.0,230
16552,2.0,236
16560,2.0,196
16664,1.0,199
16680,1.0,178
16896,3.0,280
17112,1.0,239
17464,2.0,238
17496,1.0,185
17712,0.0,144
17712,0.0,131
18184,1.0,161
18392,0.0,160
18632,2.0,260
18808,0.0,168
19320,1.0,228
19736,3.0,382
19752,0.0,255
20392,2.0,276
20472,1.0,260
21088,1.0,167
21088,1.0,285
21528,3.0,362
22168,2.0,304
22216,2.0,563
22248,1.0,366
22552,2.0,270
23032,2.0,243
23136,6.0,333
23688,1.0,190
23696,3.0,271
23992,1.0,222
24064,5.0,372
24552,0.0,190
24552,0.0,177
24576,3.0,291
25032,0.0,168
25232,0.0,192
25616,2.0,383
25800,1.0,217
25816,1.0,228
26200,1.0,206
26440,0.0,176
26864,1.0,204
26904,0.0,138
26952,0.0,142
26976,2.0,303
27376,1.0,350
27568,1.0,171
27688,2.0,259
27976,1.0,192
28232,0.0,171
28296,0.0,168
28496,1.0,190
28656,0.0,160
28792,1.0,236
29360,1.0,173
29416,1.0,216
30120,0.0,228
30192,3.0,328
31016,1.0,315
31112,2.0,307
31336,2.0,318
31464,4.0,404
31464,1.0,256
31656,1.0,183
31856,2.0,217
32312,1.0,369
32464,1.0,181
32664,1.0,194
33432,1.0,222
33544,0.0,211
33576,2.0,264
33624,1.0,270
33784,3.0,306
33864,1.0,194
33968,1.0,188
34928,3.0,283
35032,0.0,182
35208,2.0,222
35376,1.0,229
35664,2.0,255
35728,1.0,220
36216,1.0,161
36464,3.0,335
36680,0.0,184
36776,3.0,364
37544,2.0,235
37576,3.0,275
37800,5.0,346
38184,2.0,307
38640,2.0,272
38848,3.0,259
39144,1.0,196
39176,2.0,204
39256,4.0,380
39888,2.0,261
39936,4.0,407
40920,2.0,285
40920,2.0,342
41336,3.0,274
41480,2.0,278
41568,1.0,210
42200,5.0,419
42264,5.0,386
42792,2.0,357
43056,1.0,215
43280,3.0,295
43528,2.0,245
44032,3.0,319
44048,2.0,223
44472,3.0,444
44792,4.0,324
44872,2.0,227
44872,0.0,199
45216,4.0,303
45216,1.0,211
45576,1.0,191
46168,0.0,172
46168,2.0,212
46288,1.0,177
46752,2.0,340
47320,3.0,306
47664,3.0,306
47696,3.0,310
47816,1.0,280
47880,0.0,214
49120,4.0,354
49440,3.0,336
49440,0.0,195
49464,3.0,268
49480,1.0,208
49896,5.0,466
50520,3.0,353
51032,3.0,421
51136,1.0,212
51432,4.0,289
51536,1.0,262
51584,3.0,263
51936,2.0,255
52240,4.0,347
52664,0.0,154
52824,0.0,161
52968,1.0,229
53016,2.0,312
53032,1.0,181
53184,2.0,269
53816,3.0,235
54088,0.0,231
54240,0.0,153
54480,1.0,181
55072,3.0,263
55504,4.0,335
55832,4.0,396
56312,1.0,229
56472,4.0,332
56912,5.0,466
57032,2.0,245
57432,5.0,418
57544,0.0,154
57800,2.0,287
58208,0.0,217
58256,7.0,502
58360,4.0,316
58856,1.0,228
58888,0.0,182
60032,7.0,390
60080,0.0,317
60320,1.0,264
60392,1.0,267
60432,2.0,329
61096,3.0,280
61520,4.0,395
61760,2.0,359
62056,0.0,247
62240,2.0,276
62392,1.0,245
62440,3.0,265
62976,1.0,235
63120,0.0,170
63240,3.0,356
64080,4.0,320
64208,2.0,269
64704,1.0,283
64784,3.0,318
65184,1.0,276
65568,5.0,397
65584,3.0,308
65704,0.0,203
66088,2.0,356
66160,3.0,244
66712,0.0,251
67048,0.0,185
67224,1.0,305
67576,1.0,249
