experiment,member,policy,lr,gamma,batch_size,epsilon_start,epsilon_end,epsilon_fraction,mean_reward,std_reward
1,Member3,MlpPolicy,0.0001,0.99,32,1.0,0.1,0.1,2.0,0.0
2,Member3,MlpPolicy,0.0005,0.99,32,1.0,0.1,0.1,0.0,0.0
3,Member3,MlpPolicy,0.001,0.99,32,1.0,0.1,0.1,0.0,0.0
4,Member3,MlpPolicy,0.0001,0.99,64,1.0,0.1,0.1,1.3333333730697632,0.9428090453147888
5,Member3,MlpPolicy,0.0001,0.99,128,1.0,0.1,0.1,0.0,0.0
6,Member3,MlpPolicy,0.0001,0.95,32,1.0,0.1,0.1,1.6666666269302368,2.357022762298584
7,Member3,MlpPolicy,0.0001,0.999,32,1.0,0.1,0.1,0.0,0.0
8,Member3,MlpPolicy,0.0001,0.99,32,1.0,0.01,0.3,0.0,0.0
9,Member3,MlpPolicy,0.0001,0.99,32,1.0,0.2,0.05,0.0,0.0
10,Member3,MlpPolicy,0.00025,0.995,64,1.0,0.05,0.15,0.0,0.0
